Company Name,HQ Location,Industry,Headcount,Revenue,Offers Construction Admin,CA Management Tools,Construction Litigation,Project Focus Types,Open Job Titles and Dates,,
"Wright Group Architects - Planners, PLLC",Find contacts,"Carrollton, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
BLGY Architecture,Find contacts,"Round Rock, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
CPS Garten Corporation,Find contacts,"Lake Forest, California, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Altius Architecture Inc,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
JW Architects,Find contacts,"Seattle, Washington, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Moore Design Group -- Dallas, Texas",Find contacts,"Dallas, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Fusion Architecture, PLLC",Find contacts,"Plainview, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Cornerstone Architects, LLP",Find contacts,"Austin, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Good Earth Plant Company,Find contacts,"San Diego, California, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
TECTA associates,Find contacts,"San Francisco, California, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
De-Zine International Consulting Ltd,Find contacts,"Richmond Hill, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
HMN Architects,Find contacts,"Overland Park, Kansas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Durukan Design,Find contacts,"Brooklyn, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
TACKarchitects,Find contacts,"Omaha, Nebraska, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
The Dulanski Group,Find contacts,"Purchase, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Reddymade Architecture & Design,Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Big Rock Premium Landscape and Design,Find contacts,"Salt Lake City, Utah, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Syndicate Smith,Find contacts,"Leavenworth, Washington, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Design Styles Architecture,Find contacts,"Tampa, Florida, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"High Plains Architects, P.C.",Find contacts,"Billings, Montana, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Architects Pacific Inc.,Find contacts,"Honolulu, Hawaii, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Studio Obermeier Sheykhet Architecture,Find contacts,"Denver, Colorado, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Mitchell Design Build,Find contacts,"Victor, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Kluger Architects,Find contacts,"Los Angeles, California, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Condray Design Group, Inc.",Find contacts,"Lubbock, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Montroy Andersen DeMarco,Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
F S Group Architects,Find contacts,"Houston, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"SRK Architects, Inc.",Find contacts,"Los Angeles, California, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Integrated Design Group,Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
ODA studio,Find contacts,"St. Louis, Missouri, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Opus Visual,Find contacts,"The Woodlands, Texas, United States",Architecture & Planning,51-200,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Spring Stoops McCullen Engineering, PA",Find contacts,"Durham, North Carolina, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Pivotal Architecture, PC",Find contacts,"Denver, Colorado, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Zervas,Find contacts,"Bellingham, Washington, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Cooper Johnson Smith Architects & Town Planners,Find contacts,"Tampa, Florida, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Moisture Management,Find contacts,"Indianapolis, Indiana, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Regan Landscape,Find contacts,"Buffalo, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
LeMay Erickson Willcox Architects,Find contacts,"Reston, Virginia, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Roche Modern,Find contacts,"New Haven, Connecticut, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Suriano Design Consultants Inc.,Find contacts,"Vaughan, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Philip Agar Architect Inc.,Find contacts,"London, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Sound Solution Group,Find contacts,"Rocklin, California, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"DNC Architects, Inc.",Find contacts,"Gaithersburg, Maryland, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"The Levy Partnership, Inc.",Find contacts,"New York, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Carl Daniel Architects,Find contacts,"El Paso, Texas, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
CROZIER GEDNEY ARCHITECTS,Find contacts,"Rye, New York, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Mitchell/Matthews Architects & Urban Planners,Find contacts,"Charlottesville, Virginia, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Approved Code Services, Inc.",Find contacts,"Mechanicsburg, Pennsylvania, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Yezzi Associates Llc,Find contacts,"Toms River, New Jersey, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"4th Dimension Design, Inc.",Find contacts,"Waukesha, Wisconsin, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
JCAA Consulting Engineers,Find contacts,"Wheat Ridge, Colorado, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Mico Design Studio,Find contacts,"Miami, Florida, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Farmer Payne Architects,Find contacts,"Jackson, Wyoming, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Jeffrey Rome & Associates,Find contacts,"Irvine, California, United States",Architecture & Planning,51-200,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
"Logic Design & Architecture, Inc.",Find contacts,"Milwaukee, Wisconsin, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
EDT-THA Architecture LLC,Find contacts,"Huntsville, Alabama, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Scott Shields Architects,Find contacts,"Toronto, Ontario, Canada",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Alb Construction,Find contacts,"Laurel, Maryland, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
Idea Architect LLC,Find contacts,"North Miami Beach, Florida, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
ANDstudio | Architecture + Design,Find contacts,"Miami, Florida, United States",Architecture & Planning,11-50,$1M-$10M,Research with AI,Research with AI,Research with AI,Research with AI,Research with AI,
